zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.5,222,-97.73982,30.25702,14,334
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.32,221,-97.73968,30.25742,19,325
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.58,219,-97.73767,30.25702,12,353
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.73,219,-97.73973,30.25588,11,333
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.82,217,-97.73853,30.255234,28,342
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.85,214,-97.73813,30.25577,33,262
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.79,211,-97.73763,30.25689,19,331
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.55,204,-97.73966,30.2559,20,338
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.77,202,-97.73993,30.25556,13,340
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.89,199,-97.73941,30.25537,19,324
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.88,195,-97.73929,30.25559,8,336
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,5.0,189,-97.73982,30.25695,11,335
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.93,165,-97.73775,30.25536,29,342
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.89,125,-97.73956,30.25535,19,360
78704,Zilker,Entire home,Entire home/apt,5,2,2,1,5.0,294,-97.76393,30.262468,6,16
78704,South Lamar,Entire home,Entire home/apt,12,4,6,1,5.0,560,-97.79,30.231895,1,347
78704,South Lamar,Entire home,Entire home/apt,10,3,6,1,4.93,502,-97.790215,30.232014,0,346
78729,Scofield Farms,Entire rental unit,Entire home/apt,5,2,2,2,4.89,183,-97.7612,30.43903,18,328
78727,Scofield Farms,Entire rental unit,Entire home/apt,5,2,3,2,4.81,137,-97.68028,30.4226,26,315
78729,Scofield Farms,Entire rental unit,Entire home/apt,5,2,3,2,4.86,135,-97.75951,30.43928,29,339
78727,Scofield Farms,Entire rental unit,Entire home/apt,4,2,2,2,4.5,101,-97.68028,30.42248,18,334
78724,Meadows At Trinity Crossing,Entire home,Entire home/apt,12,4,8,2,5.0,207,-97.64527,30.2861,11,220
78741,Montopolis,Entire rental unit,Entire home/apt,3,1,1,2,5.0,129,-97.70571,30.2203,4,0
78744,McKinney,Private room in home,Private room,2,1,1,2,4.89,60,-97.7533,30.17891,9,30
78744,South Bend,Entire rental unit,Entire home/apt,3,1,1,1,4.9,95,-97.78195,30.171011,72,27
78748,South Austin,Entire townhouse,Entire home/apt,3,2,2,10,4.93,145,-97.83875,30.191555,0,365
78701,Old Town,Entire condo,Entire home/apt,6,2,3,2,4.93,414,-97.74652,30.2725,0,177
78701,Old Town,Entire condo,Entire home/apt,4,1,2,2,4.93,324,-97.74802,30.27084,0,247
78701,Old Town,Entire condo,Entire home/apt,4,1,2,2,4.93,301,-97.74693,30.27268,0,114
78746,Woods Of Westlake Heights,Entire home,Entire home/apt,6,4,4,3,5.0,692,-97.82229,30.2759,8,256
78735,West Oak Hill,Entire home,Entire home/apt,6,3,3,1,4.93,195,-97.88184,30.25057,0,196
78741,The Hills Of Lost Creek,Camper/RV,Entire home/apt,4,1,1,1,5.0,95,-97.73465,30.221127,1,352
78746,The Hills Of Lost Creek,Entire home,Entire home/apt,10,4,4,28,4.93,379,-97.83673,30.283518,0,0
