id,host_id,zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,availability_365
38908134,11314146,78747,"Onion Creek, Bluff Springs",Private room in home,Private room,2,1.0,1.0,2,4.98,60,-97.75621,30.15687,75
42865233,11314146,78747,"Onion Creek, Bluff Springs",Private room in home,Private room,2,1.0,1.0,2,4.91,60,-97.75739,30.15451,76
14520673,11334028,78745,East Congress,Private room in home,Private room,1,1.0,1.0,1,4.93,56,-97.76735,30.20917,0
11434645,11334028,78745,East Congress,Private room in home,Private room,1,1.0,1.0,1,5.0,40,-97.76667,30.20933,0
37177966,11341502,78704,Dollar Point/Ridgewood,Entire home,Entire home/apt,6,3.0,3.0,2,5.0,278,-97.75973,30.23289,45
642855860369329758,11342584,78757,Brentwood,Entire home,Entire home/apt,8,3.0,2.0,2,5.0,1321,-97.73105,30.33125,8
17632765,11346478,78705,University of Texas at Austin,Private room in rental unit,Private room,2,2.0,1.0,2,4.93,325,-97.72613,30.29292,0
673957837622940643,11348966,78758,Gracywoods,Private room in villa,Private room,2,1.0,1.0,2,4.45,50,-97.68862,30.39032,292
5385823,11358358,78702,East Downtown,Private room in home,Private room,2,1.0,1.0,1,4.93,200,-97.71393,30.27984,0
779688600524351329,11358358,78702,East Downtown,Entire home,Entire home/apt,2,1.0,1.0,3,4.93,150,-97.7049,30.26797,0
18416466,11362759,78745,South Manchaca,Entire townhouse,Entire home/apt,6,3.0,3.0,2,4.95,249,-97.78343,30.22418,18
616547828812878305,11362759,78704,South Manchaca,Entire home,Entire home/apt,2,1.0,1.0,2,4.89,179,-97.73607,30.24442,57
2227127,11365421,78751,Hancock,Entire home,Entire home/apt,4,2.0,3.0,14,5.0,355,-97.71621,30.30806,238
9997614,11366463,78705,West Campus,Entire rental unit,Entire home/apt,1,1.0,1.0,1,4.93,84,-97.74483,30.29316,0
2227288,11366658,78746,Barton Hills,Private room in rental unit,Private room,2,1.0,1.0,3,4.5,102,-97.79028,30.25611,0
2227564,11367937,78722,Upper Boggy Creek,Entire loft,Entire home/apt,6,1.0,1.0,2,4.93,700,-97.71731,30.28887,0
839276570112221726,11386556,78756,Brentwood,Entire home,Entire home/apt,5,2.0,2.0,2,4.93,261,-97.73632,30.32174,160
2231056,11387520,78704,Zilker,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,4.96,101,-97.77176,30.24888,0
7478179,11390216,78704,St. Edwards,Entire villa,Entire home/apt,8,4.0,4.0,4,5.0,529,-97.7496,30.23304,83
5420745,11403875,78704,Zilker,Private room in home,Private room,4,1.0,2.0,5,4.96,79,-97.76668,30.25447,0
15074147,11403875,78704,Zilker,Entire home,Entire home/apt,7,2.0,4.0,2,4.92,542,-97.77007,30.25203,41
5315903,11403875,78704,Zilker,Entire home,Entire home/apt,9,3.0,5.0,2,4.77,451,-97.76731,30.25365,0
2236988,11421571,78746,Barton Creek,Entire home,Entire home/apt,12,5.0,7.0,3,4.8,1200,-97.84196,30.275,0
602463917026118252,11461646,78745,South Austin,Private room in home,Private room,2,1.0,1.0,1,5.0,96,-97.78369,30.20082,176
6116865,11479422,78705,West Campus,Entire condo,Entire home/apt,4,2.0,2.0,2,4.83,342,-97.74724,30.28855,344
48398490,11492118,78721,MLK-183,Entire home,Entire home/apt,3,1.0,1.0,28,4.5,92,-97.68645,30.27609,30
5442748,11507537,78704,South Congress,Entire rental unit,Entire home/apt,4,1.0,1.0,2,5.0,179,-97.75468,30.24304,0
8581191,11510738,78746,Barton Hills,Entire rental unit,Entire home/apt,2,1.0,1.0,1,5.0,115,-97.78725,30.25876,0
2254118,11511343,78723,Pecan Springs Springdale,Entire bungalow,Entire home/apt,7,3.0,3.0,2,5.0,154,-97.67369,30.29952,0
2254712,11514096,78703,Tarrytown,Entire rental unit,Entire home/apt,4,2.0,2.0,1,4.99,214,-97.76049,30.29133,305
16999421,11520674,78704,Bouldin Creek,Entire guest suite,Entire home/apt,2,1.0,1.0,3,4.91,222,-97.75729,30.25573,131
621880909864958767,11520835,78705,Central Austin,Entire condo,Entire home/apt,2,1.0,1.0,10,5.0,69,-97.72463,30.29189,16
8636306,11527596,78746,Westlake Hills,Entire home,Entire home/apt,6,2.0,1.0,1,4.93,250,-97.81641,30.29575,0
19673568,11528408,78705,University of Texas,Private room in home,Private room,2,1.0,1.0,2,4.93,48,-97.73929,30.29636,0
30562424,11543921,78721,MLK & 183,Entire home,Entire home/apt,7,3.0,3.0,2,4.93,100,-97.6889,30.27086,0
48804870,11550838,78702,Holly,Entire guesthouse,Entire home/apt,2,1.0,2.0,3,4.99,189,-97.72314,30.25265,141
42339321,11553775,78749,"Circle C Ranch, Westcreek",Private room in home,Private room,1,1.0,1.0,1,5.0,69,-97.84677,30.20244,0
39006928,11553775,78749,"Circle C Ranch, Westcreek",Entire home,Entire home/apt,4,3.0,3.0,2,4.83,158,-97.84495,30.20364,0
41637658,11564257,78741,Montopolis,Entire home,Entire home/apt,8,3.0,4.0,2,4.81,230,-97.69622,30.22737,12
24121174,11579227,78732,Steiner Ranch,Entire home,Entire home/apt,8,2.0,2.0,1,4.72,278,-97.91946,30.32867,359
25212015,11579227,78732,Steiner Ranch,Private room in home,Private room,2,1.0,1.0,1,4.67,200,-97.91938,30.32977,365
25165131,11579227,78732,Steiner Ranch,Private room in home,Private room,2,1.0,1.0,1,5.0,142,-97.91958,30.32871,365
21108151,11581930,78704,Lincoln Square,Entire condo,Entire home/apt,2,1.0,1.0,60,5.0,70,-97.77948,30.24147,149
